query_id,subject_id,dN,dS,dNdS
lcl|NC_000001.11_cds_NP_000007.1_4683,lcl|NC_000069.6_cds_NP_031408.1_14466,0.05966,0.8289,0.07197
lcl|NC_000001.11_cds_NP_000020.1_10709,lcl|NC_000074.6_cds_NP_031454.3_37923,0.2876,0.7276,0.3953
lcl|NC_000001.11_cds_NP_000060.2_9320,lcl|NC_000067.6_cds_NP_001074492.1_3195,0.04277,0.4574,0.09351
lcl|NC_000001.11_cds_NP_000089.1_4041,lcl|NC_000070.6_cds_NP_034079.2_16642,0.06766,0.4493,0.1506
lcl|NC_000001.11_cds_NP_000101.2_5306,lcl|NC_000069.6_cds_NP_740748.1_13710,0.05601,0.5298,0.1057
lcl|NC_000001.11_cds_NP_000121.2_8444,lcl|NC_000067.6_cds_NP_032002.1_3789,0.1739,0.5684,0.306
lcl|NC_000001.11_cds_NP_000134.2_10958,lcl|NC_000067.6_cds_NP_034339.2_4227,0.0394,0.4942,0.07974
lcl|NC_000001.11_cds_NP_000138.2_1730,lcl|NC_000070.6_cds_NP_077205.3_18084,0.09328,0.5681,0.1642
lcl|NC_000001.11_cds_NP_000177.2_9184,lcl|NC_000067.6_cds_NP_034018.2_3287,0.2678,0.6279,0.4265
lcl|NC_000001.11_cds_NP_000182.2_1729,lcl|NC_000070.6_cds_NP_032280.2_18085,0.06297,0.5453,0.1155
lcl|NC_000001.11_cds_NP_000245.2_10889,lcl|NC_000079.6_cds_NP_001074597.1_54582,0.04161,0.4327,0.09616
lcl|NC_000001.11_cds_NP_000252.1_8550,lcl|NC_000067.6_cds_NP_034995.3_3721,0.1084,0.5168,0.2098
lcl|NC_000001.11_cds_NP_000293.2_941,lcl|NT_166299.2_cds_NP_035252.1_78164,0.04576,0.5293,0.08645
lcl|NC_000001.11_cds_NP_000301.1_2967,lcl|NC_000070.6_cds_NP_032943.2_17297,0.08164,0.5368,0.1521
lcl|NC_000001.11_cds_NP_000320.1_4535,lcl|NC_000069.6_cds_NP_084263.2_14554,0.032,0.3912,0.08178
lcl|NC_000001.11_cds_NP_000341.2_5243,lcl|NC_000069.6_cds_NP_031404.1_13740,0.06226,0.4539,0.1372
lcl|NC_000001.11_cds_NP_000365.3_3478,lcl|NC_000070.6_cds_NP_033504.2_16978,0.03736,0.3772,0.09905
lcl|NC_000001.11_cds_NP_000387.1_6613,lcl|NC_000069.6_cds_XP_006501037.1_12982,0.07493,0.3756,0.1995
lcl|NC_000001.11_cds_NP_000441.2_8453,lcl|NC_000067.6_cds_XP_006496778.1_3780,0.1763,0.6429,0.2742
lcl|NC_000001.11_cds_NP_000479.1_8659,lcl|NC_000067.6_cds_XP_006496689.1_3663,0.06774,0.4966,0.1364
lcl|NC_000001.11_cds_NP_000528.1_9554,lcl|NC_000067.6_cds_NP_112469.1_3016,0.1865,0.5178,0.3601
lcl|NC_000001.11_cds_NP_000552.2_5646,lcl|NC_000069.6_cds_NP_032209.1_13499,0.0912,0.4286,0.2128
lcl|NC_000001.11_cds_NP_000553.1_4171,lcl|NC_000070.6_cds_NP_666260.1_16499,0.1697,0.5374,0.3158
lcl|NC_000001.11_cds_NP_000556.1_7118,lcl|NC_000069.6_cds_NP_001297605.1_12564,0.3193,0.7023,0.4546
lcl|NC_000001.11_cds_NP_000563.1_9795,lcl|NC_000067.6_cds_NP_034678.1_2835,0.1592,0.4698,0.3389
lcl|NC_000001.11_cds_NP_000565.1_9847,lcl|NC_000067.6_cds_XP_017169792.1_2801,0.3893,0.7864,0.495
lcl|NC_000001.11_cds_NP_000630.1_8603,lcl|NC_000067.6_cds_NP_034307.1_3692,0.1167,0.4127,0.2829
lcl|NC_000001.11_cds_NP_000646.2_8452,lcl|NC_000067.6_cds_NP_035476.1_3783,0.1489,0.6251,0.2382
lcl|NC_000001.11_cds_NP_000668.1_5795,lcl|NC_000069.6_cds_NP_033761.2_13394,0.1704,0.5396,0.3158
lcl|NC_000001.11_cds_NP_000687.3_8303,lcl|NC_000067.6_cds_NP_064377.2_3891,0.06065,0.5885,0.1031
lcl|NC_000001.11_cds_NP_000690.1_5443,lcl|NC_000069.6_cds_NP_031472.2_13625,0.09186,0.6328,0.1452
lcl|NC_000001.11_cds_NP_000692.2_6005,lcl|NC_000069.6_cds_NP_659149.1_13239,0.01593,0.5035,0.03163
lcl|NC_000001.11_cds_NP_000693.1_7926,lcl|NC_000067.6_cds_NP_848492.1_4084,0.004251,0.4681,0.009081
lcl|NC_000001.11_cds_NP_000698.1_9743,lcl|NC_000067.6_cds_NP_036054.1_2862,0.1079,0.4852,0.2224
lcl|NC_000001.11_cds_NP_000712.2_8912,lcl|NC_000067.6_cds_NP_033912.2_3476,0.01624,0.4037,0.04023
lcl|NC_000001.11_cds_NP_000725.1_8353,lcl|NC_000067.6_cds_XP_011237048.1_3849,0.1069,0.5857,0.1825
lcl|NC_000001.11_cds_NP_000739.1_7146,lcl|NC_000069.6_cds_NP_033732.2_12561,0.03103,0.5341,0.0581
lcl|NC_000001.11_cds_NP_000751.1_2760,lcl|NC_000070.6_cds_XP_017175433.1_17398,0.2478,0.5005,0.4951
lcl|NC_000001.11_cds_NP_000766.2_4243,lcl|NC_000070.6_cds_NP_034138.3_16301,0.145,0.7335,0.1976
lcl|NC_000001.11_cds_NP_000769.2_3702,lcl|NC_000070.6_cds_NP_034141.3_16863,0.1486,0.617,0.2409
lcl|NC_000001.11_cds_NP_000770.2_3693,lcl|NC_000070.6_cds_NP_031849.1_16872,0.08701,0.4105,0.2119
lcl|NC_000001.11_cds_NP_000783.2_4077,lcl|NC_000070.6_cds_NP_031886.3_16604,0.1243,0.5063,0.2454
lcl|NC_000001.11_cds_NP_000806.2_311,lcl|NC_000070.6_cds_NP_032098.2_19095,0.03624,0.6402,0.05661
